study_id	journal	doi	year	variable_measured	role_in_study	multi_item	scale_details	anchors	categories	analysis	dimension
AL 33_1-4	Applied Linguistics	https://doi.org/10.1093/applin/amr037	2012	Concreteness and imagery of items	stimulus validation	0	NA	NA	7	means	NA
AL 34-1_3	Applied Linguistics	https://doi.org/10.1093/applin/ams023	2013	Willingness to communicate	predictor	1	(1) almost never willing, (2) sometimes willing, (3) willing half of the time, (4) usually willing, (5) almost always willing	each category	5	means	frequency
AL 34-1_3	Applied Linguistics	https://doi.org/10.1093/applin/ams023	2013	Salience of daily hassles	outcome	1	(1) absence of annoyance or problems, (5) major source of annoyance or problems	NA	5	means	NA
AL 34-1_3	Applied Linguistics	https://doi.org/10.1093/applin/ams023	2013	Self-assessment: L2 confidence in reading, listening, speaking, writing	predictor	1	Likert-type	each category	7	means	agreement
AL 34-1_3	Applied Linguistics	https://doi.org/10.1093/applin/ams023	2013	Perceived stress	outcome	1	(1) not at all, (8) extreme	NA	8	means	NA
AL 34-2_6	Applied Linguistics	https://doi.org/10.1093/applin/ams041	2013	EFL anxiety	correlational variable	1	Likert-type	each category	7	means	agreement
AL 34-4_3	Applied Linguistics	https://doi.org/10.1093/applin/ams066	2013	Self-reported use of pronunciation strategies	correlational variable	0	(1) several times a day, (2) once a day, (3) once a week, (4) once a month, (5) less than once a month, (6) never	each category	6	means	NA
AL 34-4_3	Applied Linguistics	https://doi.org/10.1093/applin/ams066	2013	Pronunciation	correlational variable	0	1 to 7	numbers	7	means	NA
AL 34-4_4	Applied Linguistics	https://doi.org/10.1093/applin/ams074	2013	Difficulty of story	stimulus validation	0	(1) completely incomprehensible; I cannot understand the overall story at all and I couldn’t catch any of the details either, (10) completely comprehensible; I can understand the overall story and all of the details without any problems	endpoints	10	means	NA
AL 36-1_5	Applied Linguistics	https://doi.org/10.1093/applin/amt037	2015	Response to advertisement	outcome	1	Likert-type	each category	7	means	agreement
AL 36-5_4	Applied Linguistics	https://doi.org/10.1093/applin/amt056	2015	Global lexical proficiency rating	outcome	0	1 to 5	numbers	5	means	NA
AL 36-5_4	Applied Linguistics	https://doi.org/10.1093/applin/amt056	2015	Ratings of accuracy of various lexical features in text	predictor	0	1 to 6	numbers	6	means	NA
AL 36-5_8	Applied Linguistics	https://doi.org/10.1093/applin/amv020	2015	Motivation	outcome	1	Likert-type	each category	5	means	agreement
AL 36-5_8	Applied Linguistics	https://doi.org/10.1093/applin/amv020	2015	Self-regulating capacity in vocabulary learning	predictor	1	Likert-type	each category	5	means	agreement
AL 37-2_2	Applied Linguistics	https://doi.org/10.1093/applin/amu003	2016	Acceptability	outcome	0	(1) unacceptable, (5) perfectly acceptable	endpoints	5	means	NA
AL 37-3_1	Applied Linguistics	https://doi.org/10.1093/applin/amu021	2016	Classroom observation: Teacher motivational practices	predictor	1	(1) very often, (2) often, (3) occasionally, (4) rarely, (5) never	each category	5	means	frequency
AL 37-3_1	Applied Linguistics	https://doi.org/10.1093/applin/amu021	2016	Various learner variables	outcome	1	(1) very untrue, (2) untrue, (3) neutral, (4) true, (5) very true	each category	5	means	intensity
AL 37-3_1	Applied Linguistics	https://doi.org/10.1093/applin/amu021	2016	Classroom observation: Motivated learner behavior	outcome	1	(1) none, (2) few, (3) some, (4) many, (5) most	each category	5	means	quantifiers
AL 37-3_6	Applied Linguistics	https://doi.org/10.1093/applin/amu039	2016	Perceived difficulty of task	stimulus validation	0	(1) easy, (5) difficult	endpoints	5	means	NA
AL 37-4_3	Applied Linguistics	https://doi.org/10.1093/applin/amu046	2016	Motivation	outcome	1	Likert-type	each category	6	means	agreement
AL 37-5_5	Applied Linguistics	https://doi.org/10.1093/applin/amu060	2016	Exposure to accents	correlational variable	0	(1) rarely, (2) sometimes, (3) often, (4) very often	each category	4	means	frequency
AL 37-5_5	Applied Linguistics	https://doi.org/10.1093/applin/amu060	2016	Familiarity with accent	correlational variable	0	(1) not at all familiar, (2) a little familiar, (3) familiar, (4) very familiar	each category	4	means	intensity
AL 37-5_5	Applied Linguistics	https://doi.org/10.1093/applin/amu060	2016	Accentedness	correlational variable	0	(1) The speaker’s accent was NOT noticeably different than what I am used to and did NOT require me to concentrate on listening any more than usual. The accent did NOT decrease my understanding. (2) The speaker’s accent was noticeably different than what I am used to but did NOT require me to concentrate on listening any more than usual. The accent did NOT decrease my understanding. (3) The speaker’s accent was noticeably different than what I am used to and did require me to concentrate on listening more than usual. However, the accent did NOT decrease my understanding. (4) The speaker’s accent was noticeably different than what I am used to and did require me to concentrate on listening more than usual. The accent slightly decreased my understanding. (5) The speaker’s accent was noticeably different than what I am used to and did require me to concentrate on listening more than usual. The accent substantially decreased my understanding.	each category	5	means	NA
AL 38-2_4	Applied Linguistics	https://doi.org/10.1093/applin/amv013	2017	Role of English in Moroccan economy	outcome	0	Likert-type	each category	5	means	agreement
AL 38-3_3	Applied Linguistics	https://doi.org/10.1093/applin/amv029	2017	Felicity, acceptability	outcome	0	(1) infelicitous, (5) felicitous; (1) completely ungrammatical, (5) perfectly grammatical	endpoints	5	means	NA
AL 38-4_3	Applied Linguistics	https://doi.org/10.1093/applin/amv050	2017	Writing evaluation	outcome	0	(1) not enough to evaluate, (6) very good	endpoints	6	means	NA
AL 38-5_4	Applied Linguistics	https://doi.org/10.1093/applin/amv059	2017	Motivation	outcome	1	Likert-type	each category	5	means	agreement
AL 38-5_5	Applied Linguistics	https://doi.org/10.1093/applin/amv060	2017	Effort assessment	outcome	1	Likert-type	each category	5	means	agreement
AL 38-6_3	Applied Linguistics	https://doi.org/10.1093/applin/amv071	2017	Motivation	predictor	1	Likert-type	each category	4	means	agreement
AL 38-6_4	Applied Linguistics	https://doi.org/10.1093/applin/amv070	2017	Importance of phrase for udnerstanding a sentence	stimulus validation	0	0 to 3	numbers	4	means	NA
AL 39-3_6	Applied Linguistics	https://doi.org/10.1093/applin/amw017	2018	Blame assignment for violent event	outcome	0	(1) Protesters Fully to Blame, (2) Protesters Mainly to Blame, (3) Both Parties Equally to Blame, (4) Police Mainly to Blame,  (5) Police Fully to Blame	each category	5	nonparametric	intensity
AL 39-3_6	Applied Linguistics	https://doi.org/10.1093/applin/amw017	2018	Aggressiveness rating	outcome	0	(1) not aggressive at all, (7) extremely aggressive	endpoints	7	nonparametric	NA
AL 40-1_2	Applied Linguistics	https://doi.org/10.1093/applin/amx005	2019	Lexical proficiency rating	outcome	0	(1) little lexical mastery, (5) high lexical proficiency	endpoints	5	means	NA
AL 40-2_3	Applied Linguistics	https://doi.org/10.1093/applin/amx017	2019	Perception of speaker	outcome	0	(1) not at all, (5) very much	endpoints	5	means	NA
AL 40-2_7	Applied Linguistics	https://doi.org/10.1093/applin/amx030	2019	Naturalness	predictor	0	(1) very unnatural, (5) very natural	endpoints	5	means	NA
AL 40-2_8	Applied Linguistics	https://doi.org/10.1093/applin/amx036	2019	Language competence, self-rating; Comfort in using French, self-rating	predictor	1	(1) very poor, (7) native-like; (1) Not comfortable at all, (7) As comfortable as a native speaker	endpoints	7	means	NA
AL 40-2_8	Applied Linguistics	https://doi.org/10.1093/applin/amx036	2019	Cultural orientation	predictor	1	(1) strongly disagree, (3) disagree, (5) neutral, (7) agree, (9) strongly agree	endpoints and midpoint	9	means	agreement
AL 40-3_4	Applied Linguistics	https://doi.org/10.1093/applin/amx047	2019	Language mindset	predictor	1	Likert-type	each category	6	means	agreement
AL 40-3_5	Applied Linguistics	https://doi.org/10.1093/applin/amx054	2019	Perceived task difficulty	outcome	0	NA	NA	9	means	NA
AL 40-5_4	Applied Linguistics	https://doi.org/10.1093/applin/amy022	2019	Feminine or masculine connotation of nouns	stimulus validation	0	(1) extremely feminine, (4) neutral, (7) extremely masculine	endpoints and midpoint	7	means	NA
AL 40-6_2	Applied Linguistics	https://doi.org/10.1093/applin/amy032	2019	Communication ability judgment	predictor	0	(1) poor, (7) excellent	endpoints	7	NA	NA
AL 40-6_5	Applied Linguistics	https://doi.org/10.1093/applin/amy039	2019	Measurement of ""need for cognition""	predictor	1	Likert-type	each category	5	means	agreement
AL 40-6_5	Applied Linguistics	https://doi.org/10.1093/applin/amy039	2019	Perception of advertisements	outcome	0	(1) I don't like it at all, (5) I like it a lot	endpoints	5	means	NA
AL 41-4_1	Applied Linguistics	https://doi.org/10.1093/applin/amy053	2020	Accentedness rating	outcome	0	(1) no accent, (7) heavy accent	endpoints	7	means	NA
AL 42-1_7	Applied Linguistics	https://doi.org/10.1093/applin/amz056	2021	Importance rating for characteristics (e.g. accent, fluency)	outcome	0	(1) Not important at all, (2) Not very important, (3)  So so, (4) Quite important, (5) Very important	each category	5	means	intensity
AL 42-3_7	Applied Linguistics	https://doi.org/10.1093/applin/amaa033	2021	Instructor evaluation	outcome	1	Likert-type	each category	7	means	agreement
AL 42-3_8	Applied Linguistics	https://doi.org/10.1093/applin/amaa046	2021	Perception of tweets	outcome	0	semantic differential scale, (1) detached, (7) sympathetic	endpoints	7	means	NA
AL 42-4_2	Applied Linguistics	https://doi.org/10.1093/applin/amaa051	2021	Performace rating in interview	outcome	0	(1) not acceptable, (7) exceptional	endpoints	7	nonparametric, means	NA
AL 42-5_5	Applied Linguistics	https://doi.org/10.1093/applin/amaa067	2021	Rating of different competences	outcome	0	Likert-type	each category	5	means	agreement
AL 42-5_6	Applied Linguistics	https://doi.org/10.1093/applin/amaa056	2021	Competence slef-ratings	predictor	0	(1) poor, (5) native speaker command	endpoints	5	means	NA
AL 43-1_5	Applied Linguistics	https://doi.org/10.1093/applin/amab013	2022	Appropriateness of speech acts	outcome	0	(0) no performance, (1) very poor, (2) poor, (3) fair, (4) good, (5) excellent	each category	5	means	quality
AL 43-1_7	Applied Linguistics	https://doi.org/10.1093/applin/amab005	2022	L2 self-efficacy	outcome	1	Likert-type	each category	5	means	agreement
AL 43-2_5	Applied Linguistics	https://doi.org/10.1093/applin/amab044	2022	Self-rated plurilingual and pluricultural competence	outcome	1	Likert-type	each category	4	means	agreement
AL 43-3_7	Applied Linguistics	https://doi.org/10.1093/applin/amab046	2022	Attitude rating towards variety	outcome	0	Likert-type	NA	5	means	agreement
AL 43-3_7	Applied Linguistics	https://doi.org/10.1093/applin/amab046	2022	Verbal guise task	outcome	0	Likert-type	NA	7	means	agreement
AL 43-4_1	Applied Linguistics	https://doi.org/10.1093/applin/amab079	2022	Researcher perceptions	outcome	0	Likert-type	each category	6	means	agreement
AL 43-5_1	Applied Linguistics	https://doi.org/10.1093/applij/amab071	2022	Valence ratings	outcome	1	Emojis	each category	7	means	NA
AL 43-5_2	Applied Linguistics	https://doi.org/10.1093/applij/amab072	2022	Accentedness rating	outcome	0	NA	NA	9	orm	NA
AL 43-5_5	Applied Linguistics	https://doi.org/10.1093/applij/amac013	2022	Teacher ratings	outcome	0	different scales; (1) strongly disagree, (5) strongly agree; (1) very negative influence, (5) very positive influence; (1) not common at all, (5) very common	endpoints	5	means	NA
AL 43-5_8	Applied Linguistics	https://doi.org/10.1093/applij/amac018	2022	Foreign language anxiety	outcome	1	Likert-type	each category	5	means	agreement
AP 33-2_7	Applied Psycholinguistics	https://doi.org/10.1017/S0142716411000403	2012	Spelling accuracy	outcome	0	Defined categories	each category	8	means	NA
AP 33-3_5	Applied Psycholinguistics	https://doi.org/10.1017/S0142716411000476	2012	Perceptual modality rating	outcome	0	NA	NA	5	means	NA
AP 33-4_4	Applied Psycholinguistics	https://doi.org/10.1017/S0142716411000555	2012	Frequency rating	stimulus validation	0	NA	NA	7	NA	NA
AP 34-2_7	Applied Psycholinguistics	https://doi.org/10.1017/S0142716411000737	2013	Accentedness rating	outcome	0	combination of two ratings; (1) classification of speaker as native vs. non-native and (2) indication of confidence: certain, semicertain, uncertain	each category	6	means	probability
AP 34-3_3	Applied Psycholinguistics	https://doi.org/10.1017/S014271641100083X	2013	AoA, mode of acquisition, familiarity and imagery ratings	correlational variable	0	(1) acquired entirely by perceptual information, (7) acquired entirely by linguistic information, (2) to (6) ranged from more by perceptual than by linguistic information to more by linguistic than by perceptual information; (1) very unfamiliar, (7) very familiar; (1) hardly imageable, (7) very imageable	NA	7	means	NA
AP 34-3_4	Applied Psycholinguistics	https://doi.org/10.1017/S0142716411000841	2013	Acceptability rating	outcome	0	(1) unacceptable, (4) acceptable	endpoints	4	means	NA
AP 34-6_4	Applied Psycholinguistics	https://doi.org/10.1017/S0142716412000197	2013	Acceptability rating	outcome	0	(1) worst, (6) best	endpoints	6	means	NA
AP 34-6_6	Applied Psycholinguistics	https://doi.org/10.1017/S0142716412000215	2013	Language use English and Spanish	predictor	0	(1) never, (2) a little, (3) some of the time, (4) most of the time, (5) all the time	each category	5	means	frequency
AP 34-6_6	Applied Psycholinguistics	https://doi.org/10.1017/S0142716412000215	2013	Language use English vs. Spanish; Receptive and expressive language skills; English proficiency rating	predictor	0	(1) no English used, (2) more Spanish than English, (3) equal amounts of Spanish and English, (4) more English than Spanish, (5) all English; Defined categories; Defined categories	each category	5	means	NA
AP 35-1_7	Applied Psycholinguistics	https://doi.org/10.1017/S0142716412000288	2014	Level of education	sample description	0	(1) not completed high school, (2) high school diploma, (3) some postsecondary education, (4) bachelor’s degree, (5) graduate or professional degree	each category	5	means	NA
AP 35-1_7	Applied Psycholinguistics	https://doi.org/10.1017/S0142716412000288	2014	Language use in the home	sample description	0	(1) all English, (5) no English	NA	5	means	NA
AP 35-1_8	Applied Psycholinguistics	https://doi.org/10.1017/S014271641200029X	2014	Proficiency rating	sample description	0	(1) beginner, (5) nativelike	endpoints	5	description_categorical	NA
AP 35-2_4	Applied Psycholinguistics	https://doi.org/10.1017/S0142716412000409	2014	Familiarity rating	outcome	0	(1) not at all, (7) very high	endpoints	7	means	NA
AP 35-3_1	Applied Psycholinguistics	https://doi.org/10.1017/S0142716412000471	2014	Perceived emotionality of words	outcome	0	(1) unemotional, (7) emotional	endpoints	7	means	NA
AP 35-6_2	Applied Psycholinguistics	https://doi.org/10.1017/S0142716412000665	2014	Likelihood of variant	outcome	0	(1) very unlikely, (7) very likely	endpoints	7	means	NA
AP 36-3_2	Applied Psycholinguistics	https://doi.org/10.1017/S0142716413000337	2015	Imageability rating	stimulus validation	0	(1) very low imageability, (7) very high imageability	endpoints	7	means	NA
AP 36-3_7	Applied Psycholinguistics	https://doi.org/10.1017/S0142716413000386	2015	Acceptability rating	outcome	1	(1) very strange, (4) perfect	endpoints	4	means	NA
AP 36-3_7	Applied Psycholinguistics	https://doi.org/10.1017/S0142716413000386	2015	Naturalness rating	outcome	1	(1) not natural, (7) perfectly natural	endpoints	7	means	NA
AP 36-4_3	Applied Psycholinguistics	https://doi.org/10.1017/S0142716413000520	2015	Semantic relatedness rating	stimulus validation	0	NA	NA	7	means	NA
AP 36-4_5	Applied Psycholinguistics	https://doi.org/10.1017/S0142716413000544	2015	Language use	correlational variable	0	(1) only Turkish, (2) more Turkish than German, (3) equal amounts of Turkish and German, (4) more Turkish than German, (5) only German	each category	5	means, orm	NA
AP 36-4_9	Applied Psycholinguistics	https://doi.org/10.1017/S0142716414000010	2015	Gender typicality	stimulus validation	0	(1) typically male, (7) typically female	endpoints	7	means	NA
AP 36-4_9	Applied Psycholinguistics	https://doi.org/10.1017/S0142716414000010	2015	Perceived proportion of men and women in a profession	stimulus validation	0	(1) only men, (4) same amount of women and men , (7) only women	endpoints and midpoint	7	means	NA
AP 36-6_5	Applied Psycholinguistics	https://doi.org/10.1017/S0142716414000332	2015	Semantic relatedness	outcome	0	(1) completely unrelated, (5) almost the same meaning	endpoints	5	means	NA
AP 36-6_7	Applied Psycholinguistics	https://doi.org/10.1017/S0142716414000496	2015	Similarity of sound to speech	stimulus validation	0	(1) not at all like speech, (7) exactly like speech	endpoints	7	means	NA
AP 37-2_11	Applied Psycholinguistics	https://doi.org/10.1017/S0142716415000065	2016	Frequency of use of text abbreviations	predictor	0	(1) frequently, (2) sometimes, (3) never	each category	3	means	frequency
AP 37-2_5	Applied Psycholinguistics	https://doi.org/10.1017/S0142716414000575	2016	Comprehensibility; Accentedness	outcome	0	(1) very easy to understand, (5) very difficult to understand; (1) no accent, (5) strong accent	endpoints	5	means	NA
AP 37-2_6	Applied Psycholinguistics	https://doi.org/10.1017/S0142716414000587	2016	Acceptability	outcome	0	(1) completely acceptable, (2) acceptable, (3) I am not sure, (4) unacceptable, (5) completely unacceptable	each category	5	means	intensity
AP 37-3_10	Applied Psycholinguistics	https://doi.org/10.1017/S0142716415000223	2016	Accentedness rating	sample description	0	(1) don't understand, (9) native speaker	endpoints	9	means	NA
AP 37-3_4	Applied Psycholinguistics	https://doi.org/10.1017/S0142716415000120	2016	Cognitive style; ability and engagement	correlational variable	1	Likert-type	each category	5	means	agreement
AP 37-3_7	Applied Psycholinguistics	https://doi.org/10.1017/S0142716415000193	2016	Similarity	stimulus validation	0	(1) not at all similar, (7) identical	endpoints	7	means	NA
AP 37-4_2	Applied Psycholinguistics	https://doi.org/10.1017/S0142716415000247	2016	Confidence rating	predictor	0	(1) no confidence, (2) somewhat confident, (3) very confident, (4) absolutely certain	each category	4	NA	intensity
AP 37-4_4	Applied Psycholinguistics	https://doi.org/10.1017/S0142716415000260	2016	Rating of how well an interjection fits into a context	outcome	0	(1) not likely to be part of the message, (7) very likely to be part of the message	endpoints	7	means	NA
AP 37-6_9	Applied Psycholinguistics	https://doi.org/10.1017/S0142716416000096	2016	Animacy	predictor	0	(1) the least animate, (7) the most animate	endpoints	7	means	NA
AP 38-1_1	Applied Psycholinguistics	https://doi.org/10.1017/S0142716416000035	2017	Acceptability	predictor	0	(1) completely unacceptable, (2) fairly unacceptable, (3) slightly unacceptable, (4) slightly acceptable, (5) fairly acceptable, (6) completely acceptable	each category	6	description_categorical	intensity
AP 38-2_6	Applied Psycholinguistics	https://doi.org/10.1017/S0142716416000254	2017	Intelligibility rating	outcome	0	(1) difficult to understand, (5) easy to understand	endpoints	5	means	NA
AP 38-2_9	Applied Psycholinguistics	https://doi.org/10.1017/S0142716416000266	2017	Concreteness and familiarty of words	stimulus validation	0	(1) minimum levels of concreteness, (7) maximum level of concreteness	endpoints	7	means	NA
AP 38-2_9	Applied Psycholinguistics	https://doi.org/10.1017/S0142716416000266	2017	Emotional valence, arousal of words	stimulus validation	0	(1) not arousing at all, (9) strongly arousing	endpoints	9	means	NA
AP 38-3_1	Applied Psycholinguistics	https://doi.org/10.1017/S014271641600031X	2017	Self-reported comprehension rating	outcome	0	(1) did not understand at all, (7) understood completely	endpoints	7	means	NA
AP 38-4_5	Applied Psycholinguistics	https://doi.org/10.1017/S0142716416000485	2017	Current language use at home	predictor	0	(1) mainly or only A, (2) usually A sometimes B, (3) both equally often, (4) sometimes A usually B, (5) mainly or only B	each category	5	means	frequency
AP 39-1_9	Applied Psycholinguistics	https://doi.org/10.1017/S0142716417000224	2018	Semantic relatednes	stimulus validation	0	(1) no or almost no relation, (5) strong relation	endpoints	5	means	NA
AP 39-3_1	Applied Psycholinguistics	https://doi.org/10.1017/S0142716417000443	2018	Valence and arousal ratings	outcome	0	manikins; SAM (Self Assessment Manikin) scale by Bradley and Lang 1994	each category	5	means	NA
AP 39-3_1	Applied Psycholinguistics	https://doi.org/10.1017/S0142716417000443	2018	Abstractness	correlational variable	0	(1) very abstract, (7) very concrete	endpoints	7	means	NA
AP 39-3_8	Applied Psycholinguistics	https://doi.org/10.1017/S0142716417000601	2018	Plausibility and semantic integration	stimulus validation	0	(1) verys implausible, (5) very plausible	endpoints	5	means	NA
AP 39-6_6	Applied Psycholinguistics	https://doi.org/10.1017/S0142716418000309	2018	Body object interaction	outcome	0	(1) low, (4) medium, (7) high	endpoints and midpoint	7	means	NA
AP 40-1_2	Applied Psycholinguistics	https://doi.org/10.1017/S0142716418000449	2019	Self-rated proficiency	sample description	0	labels for all categories	each category	9	means	NA
AP 40-1_3	Applied Psycholinguistics	https://doi.org/10.1017/S0142716418000450	2019	Self-rated proficiency	sample description	0	NA	NA	5	means	NA
AP 40-2_13	Applied Psycholinguistics	https://doi.org/10.1017/S0142716418000693	2019	Vividness of visual imagery	correlational variable	0	NA	endpoints	7	means	NA
AP 40-2_15	Applied Psycholinguistics	https://doi.org/10.1017/S0142716418000711	2019	Goodness-of-fit rating	outcome	0	(1) bad, (7) very good	endpoints	7	means	NA
AP 40-3_2	Applied Psycholinguistics	https://doi.org/10.1017/S0142716418000760	2019	Confidence rating	predictor	0	(1) no confidence (guessing), (2) somewhat confident, (3) very confident, (3) absolutely certain (100% confident)	each category	4	description_categorical	probability
AP 40-3_4	Applied Psycholinguistics	https://doi.org/10.1017/S0142716418000784	2019	Word familiarity	sample description	0	(0) no knowledge, (1) passive knowledge (understands but doesn’t use the word) (2) regular production of the word (understands and uses the word)	each category	3	means	NA
